Time	EMG	Muscle Force
0.674	0.0361284	0.26709
0.675	0.0689624	0.26709
0.676	0.0595276	0.26709
0.677	-0.021438	0.26709
0.678	-0.108662	0.26709
0.679	-0.106366	0.26709
0.68	-0.0378805	0.26709
0.681	0.114387	0.26709
0.682	0.148958	0.26709
0.683	0.0155136	0.26709
0.684	-0.0843181	0.26709
0.685	-0.0741154	0.26709
0.686	-0.00524702	0.26709
0.687	0.034287	0.26709
0.688	0.0404848	0.26709
0.689	-0.0175455	0.26709
0.69	-0.0362012	0.26709
0.691	-0.0171729	0.26709
0.692	0.0182271	0.26709
0.693	0.0297303	0.26709
0.694	0.0262553	0.26709
0.695	-0.00703957	0.26709
0.696	-0.0136403	0.26709
0.697	-0.000238279	0.26709
0.698	-0.00063112	0.26709
0.699	-0.0194962	0.26709
0.7	-0.0311958	0.26709
0.701	-0.028759	0.26709
0.702	0.0221023	0.26709
0.703	0.0917823	0.26709
0.704	0.053289	0.26709
0.705	-0.0260938	0.26709
0.706	-0.0800414	0.26709
0.707	-0.0763682	0.26709
0.708	-0.00945523	0.26709
0.709	0.049823	0.26709
0.71	0.0988354	0.26709
0.711	0.0514239	0.26709
0.712	-0.0527015	0.26709
0.713	-0.0790587	0.26709
0.714	-0.0640797	0.26709
0.715	0.00754186	0.26709
0.716	0.0746072	0.26709
0.717	0.069695	0.26709
0.718	0.00792537	0.26709
0.719	-0.0514621	0.26709
0.72	-0.0355233	0.26709
0.721	-0.0433797	0.26709
0.722	0.00317863	0.26709
0.723	0.0419122	0.26709
0.724	0.0704332	0.26709
0.725	0.0259132	0.26709
0.726	-0.0616468	0.26709
0.727	-0.0930852	0.26709
0.728	0.00697824	0.26709
0.729	0.0564253	0.26709
0.73	0.0158416	0.26709
0.731	0.00868006	0.26709
0.732	0.0198759	0.26709
0.733	0.00548916	0.26709
0.734	-0.0358812	0.26709
0.735	-0.0515402	0.26709
0.736	0.0265737	0.26709
0.737	0.0195212	0.26709
0.738	0.000411605	0.26709
0.739	0.00390213	0.26709
0.74	-0.0104445	0.26709
0.741	-0.0140447	0.26709
0.742	0.0056288	0.26709
0.743	0.0638265	0.26709
0.744	0.0193867	0.26709
0.745	-0.0469894	0.26709
0.746	-0.0529525	0.26709
0.747	-0.052173	0.26709
0.748	0.00439192	0.26709
0.749	0.0931963	0.26709
0.75	0.055451	0.26709
0.751	-0.0126066	0.26709
0.752	-0.0429918	0.26709
0.753	-0.0105808	0.26709
0.754	-0.00748219	0.26709
0.755	-0.0107496	0.26709
0.756	-0.0284064	0.26709
0.757	-0.000715547	0.26709
0.758	0.0126466	0.26709
0.759	0.0329768	0.26709
0.76	0.0765908	0.26709
0.761	0.0110116	0.26709
0.762	-0.0645289	0.26709
0.763	-0.0520777	0.26709
0.764	-0.023507	0.26709
0.765	-0.0192285	0.26709
0.766	0.0336807	0.26709
0.767	0.0456604	0.26709
0.768	0.0294014	0.26709
0.769	0.00451736	0.26709
0.77	0.00168407	0.26709
0.771	-0.0457589	0.26709
0.772	-0.0145344	0.26709
0.773	-0.00501772	0.26709
0.774	-0.0118559	0.26709
0.775	0.0203179	0.26746
0.776	0.0372419	0.26709
0.777	0.0193384	0.26709
0.778	-0.0502824	0.26709
0.779	-0.0463728	0.26709
0.78	0.00819755	0.26709
0.781	0.0525303	0.26709
0.782	0.0522965	0.26709
0.783	0.0230091	0.26709
0.784	-0.0510409	0.26709
0.785	-0.0915077	0.26709
0.786	-0.0356705	0.26709
0.787	0.0409198	0.26709
0.788	0.0528747	0.26709
0.789	0.0599867	0.26709
0.79	-0.0249613	0.26709
0.791	0.00188777	0.26709
0.792	-0.0123319	0.26709
0.793	-0.0181898	0.26709
0.794	-0.0473792	0.26709
0.795	-0.0464573	0.26709
0.796	0.0475272	0.26709
0.797	0.0629885	0.26709
0.798	0.027575	0.26709
0.799	0.00799386	0.26709
0.8	-0.0100635	0.26709
0.801	-0.0492582	0.26709
0.802	-0.0591929	0.26709
0.803	0.00912235	0.26709
0.804	0.00461666	0.26709
0.805	0.0368285	0.26709
0.806	0.0446865	0.26709
0.807	0.0179328	0.26709
0.808	-0.0138348	0.26709
0.809	-0.0171139	0.26709
0.81	-0.0110846	0.26709
0.811	-0.0219208	0.26709
0.812	-0.0524482	0.26709
0.813	-0.0143353	0.26709
0.814	0.0779032	0.26709
0.815	0.0496968	0.26709
0.816	-0.00935703	0.26709
0.817	-0.0483915	0.26709
0.818	-0.00523437	0.26709
0.819	0.0361279	0.26709
0.82	0.0426719	0.26709
0.821	-0.0265479	0.26709
0.822	-0.0704492	0.26709
0.823	-0.0725263	0.26709
0.824	-0.0140078	0.26709
0.825	0.0913464	0.26709
0.826	0.128748	0.26709
0.827	0.0404919	0.26746
0.828	-0.0741802	0.26746
0.829	-0.103624	0.26746
0.83	-0.0772156	0.26746
0.831	0.0599801	0.26709
0.832	0.0902627	0.26709
0.833	-0.00656584	0.26709
0.834	-0.053616	0.26746
0.835	-0.0342889	0.26746
0.836	0.0298138	0.26709
0.837	0.0794217	0.26709
0.838	0.0341908	0.26746
0.839	-0.0290646	0.26746
0.84	-0.070336	0.26709
0.841	-0.0409871	0.26709
0.842	-0.0289289	0.26746
0.843	0.0204489	0.26709
0.844	0.0937402	0.26746
0.845	0.0156792	0.26746
0.846	-0.0172677	0.26746
0.847	-0.0118564	0.26746
0.848	-0.00295282	0.26746
0.849	-0.00688236	0.26746
0.85	-0.0156743	0.26746
0.851	-0.0226104	0.26746
0.852	-0.0274506	0.26746
0.853	0.0453072	0.26746
0.854	0.0590974	0.26746
0.855	0.00112242	0.26746
0.856	-0.0341579	0.26709
0.857	-0.0293817	0.26746
0.858	-0.0153209	0.26746
0.859	0.00168509	0.26746
0.86	0.0345785	0.26746
0.861	0.0138504	0.26746
0.862	-0.00811658	0.26746
0.863	0.0139908	0.26746
0.864	0.0213249	0.26746
0.865	-0.0362679	0.26746
0.866	-0.0665634	0.26746
0.867	-0.0200334	0.26746
0.868	-0.00656786	0.26746
0.869	0.0937146	0.26746
0.87	0.109597	0.26746
0.871	-0.0200774	0.26746
0.872	-0.0503198	0.26746
0.873	-0.0990184	0.26746
0.874	-0.0641097	0.26746
0.875	0.0548438	0.26746
0.876	0.0579546	0.26746
0.877	0.00798156	0.26746
0.878	0.00200328	0.26746
0.879	0.0270652	0.26746
0.88	-0.00110994	0.26746
0.881	-0.00376633	0.26746
0.882	-0.0162545	0.26746
0.883	-0.0296716	0.26746
0.884	-0.0327018	0.26746
0.885	-0.0217981	0.26746
0.886	0.0323213	0.26709
0.887	0.0626026	0.26746
0.888	0.0176661	0.26746
0.889	-0.00314113	0.26746
0.89	-0.00330086	0.26709
0.891	-0.024284	0.26746
0.892	-0.0346382	0.26746
0.893	-0.00104867	0.26746
0.894	-0.023693	0.26746
0.895	-0.0158408	0.26746
0.896	0.036116	0.26709
0.897	0.0804749	0.26709
0.898	0.0335257	0.26709
0.899	-0.00900724	0.26709
0.9	-0.0506067	0.26709
0.901	-0.100031	0.26709
0.902	-0.0875764	0.26709
0.903	0.104938	0.26709
0.904	0.110722	0.26709
0.905	0.0268489	0.26709
0.906	-0.0356731	0.26709
0.907	-0.0287794	0.26709
0.908	-0.0135307	0.26709
0.909	-0.0250478	0.26709
0.91	-0.0138306	0.26709
0.911	-0.0234287	0.26709
0.912	0.022258	0.26709
0.913	0.04559	0.26709
0.914	0.0379047	0.26709
0.915	0.00368239	0.26709
0.916	-0.0252525	0.26709
0.917	-0.0403058	0.26709
0.918	-0.0350165	0.26709
0.919	-0.0145333	0.26709
