Time	Lead II
10.63	0.057578
10.64	0.186655
10.65	0.144571
10.66	0.245255
10.67	0.286272
10.68	0.245051
10.69	0.352571
10.7	0.259012
10.71	0.293361
10.72	0.250934
10.73	0.137682
10.74	0.188712
10.75	0.0235571
10.76	0.0320721
10.77	0.0238121
10.78	-0.0601494
10.79	0.0102863
10.8	-0.101263
10.81	-0.0413254
10.82	-0.0307473
10.83	-0.112355
10.84	-0.0177017
10.85	-0.106462
10.86	-0.0266637
10.87	-0.00504053
10.88	-0.0847492
10.89	0.0039081
10.9	-0.0933381
10.91	-0.0312283
10.92	-0.0074702
10.93	-0.061199
10.94	0.0463294
10.95	-0.0630443
10.96	-0.0226248
10.97	-0.0127762
10.98	-0.0776771
10.99	0.0258077
11	-0.0678333
11.01	-0.0156079
11.02	-0.0183975
11.03	-0.0996081
11.04	-0.00528153
11.05	-0.108797
11.06	-0.0707939
11.07	-0.0411913
11.08	-0.0974764
11.09	-0.00440929
11.1	-0.105842
11.11	-0.0526395
11.12	-0.0425698
11.13	-0.110594
11.14	-0.00253054
11.15	-0.109195
11.16	-0.0795216
11.17	-0.0711235
11.18	-0.119565
11.19	-0.00371247
11.2	-0.0996375
11.21	-0.0473185
11.22	-0.0397947
11.23	-0.118712
11.24	-0.0175783
11.25	-0.109792
11.26	-0.0466538
11.27	0.010702
11.28	-0.00190646
11.29	0.102297
11.3	-0.0215273
11.31	0.0106752
11.32	-0.00232304
11.33	-0.102369
11.34	-0.0173975
11.35	-0.109789
11.36	-0.0516252
11.37	-0.0399048
11.38	-0.103691
11.39	0.00236368
11.4	-0.0888713
11.41	-0.0185594
11.42	0.0958479
11.43	0.244238
11.44	0.311575
11.45	-0.0956978
11.46	-0.325908
11.47	-0.403012
11.48	-0.390811
11.49	-0.137971
11.5	-0.129972
11.51	-0.0345851
11.52	0.0231301
11.53	-0.0177695
11.54	0.0855893
11.55	-0.0107178
11.56	0.046072
11.57	0.0714341
11.58	0.00976327
11.59	0.135584
11.6	0.065793
11.61	0.147791
11.62	0.197796
11.63	0.151101
11.64	0.285993
11.65	0.244136
11.66	0.320962
11.67	0.332759
11.68	0.245897
11.69	0.321999
11.7	0.184325
11.71	0.169717
11.72	0.119274
11.73	-0.00597194
11.74	0.0614388
11.75	-0.0539623
11.76	-0.00613192
11.77	0.00639346
11.78	-0.0892891
11.79	0.00283737
11.8	-0.0824986
11.81	-0.02544
11.82	-0.00380035
11.83	-0.0897725
11.84	0.0180213
11.85	-0.0683497
11.86	-0.0262924
11.87	-0.00331674
11.88	-0.0779748
11.89	0.0330614
11.9	-0.0360945
11.91	-0.00201168
11.92	0.00559727
11.93	-0.0735495
11.94	0.0295398
11.95	-0.0725235
11.96	-0.039498
11.97	-0.0148197
11.98	-0.0837272
11.99	0.0257773
12	-0.0619316
12.01	-0.036704
12.02	-0.0270469
12.03	-0.107995
12.04	0.00335336
12.05	-0.0812
12.06	-0.0322934
12.07	0.00234172
12.08	-0.0900534
12.09	0.00108743
12.1	-0.0794444
12.11	-0.0365721
12.12	-0.0112191
12.13	-0.0972644
12.14	-0.013687
12.15	-0.0917794
12.16	-0.0495219
12.17	-0.0256151
12.18	-0.098626
12.19	0.00023541
12.2	-0.0906079
12.21	-0.0583962
12.22	-0.0334258
12.23	-0.100647
12.24	0.015447
12.25	-0.0439507
12.26	0.0328314
12.27	0.0679314
12.28	-0.0444759
12.29	0.0366947
12.3	-0.0478862
12.31	-0.0144189
12.32	-0.0104026
12.33	-0.117067
12.34	-0.029977
12.35	-0.106325
12.36	-0.061626
12.37	-0.0305647
12.38	-0.102312
12.39	0.0106107
12.4	0.000155557
12.41	0.259579
12.42	0.346042
12.43	-0.0155433
12.44	-0.232453
12.45	-0.466089
12.46	-0.3751
12.47	-0.179102
12.48	-0.134051
12.49	0.0244513
12.5	-0.0370833
12.51	0.0164787
12.52	0.0527489
12.53	-0.0276058
12.54	0.0947532
12.55	0.0338268
12.56	0.0889974
12.57	0.147637
12.58	0.0771153
12.59	0.204623
12.6	0.150852
12.61	0.222371
12.62	0.302018
12.63	0.24762
12.64	0.364679
12.65	0.28259
12.66	0.31828
12.67	0.344207
12.68	0.202176
12.69	0.225086
12.7	0.0668035
12.71	0.0486339
12.72	0.052941
12.73	-0.0509987
12.74	0.0328392
12.75	-0.064524
12.76	-0.0426948
12.77	-0.017221
12.78	-0.108551
12.79	-0.00170327
12.8	-0.0804175
12.81	-0.0577583
12.82	-0.016197
12.83	-0.0850852
12.84	0.0240769
12.85	-0.05494
12.86	-0.0280555
12.87	0.0057719
12.88	-0.0855451
12.89	0.0161895
12.9	-0.0586365
12.91	-0.0184014
12.92	0.0158282
12.93	-0.0835017
12.94	0.00434343
12.95	-0.0761228
12.96	-0.0334991
12.97	0.0152247
