Time	Lead II
8.64	-0.1625
8.65	-0.0371311
8.66	0.0225974
8.67	0.00882271
8.68	0.0379378
8.69	0.0342177
8.7	0.0599221
8.71	0.075871
8.72	0.0410862
8.73	0.0535496
8.74	0.0565199
8.75	0.0775153
8.76	0.0917099
8.77	0.0953571
8.78	0.142528
8.79	0.150445
8.8	0.170791
8.81	0.182363
8.82	0.15807
8.83	0.185724
8.84	0.173291
8.85	0.148202
8.86	0.116672
8.87	0.0663533
8.88	0.0510173
8.89	0.00324426
8.9	-0.00905098
8.91	-0.0154966
8.92	-0.0505838
8.93	-0.0383518
8.94	-0.0599233
8.95	-0.0556646
8.96	-0.0460565
8.97	-0.0657893
8.98	-0.0352241
8.99	-0.046875
9	-0.0523844
9.01	-0.0480713
9.02	-0.0576917
9.03	-0.0212808
9.04	-0.0349398
9.05	-0.0345711
9.06	-0.0161633
9.07	-0.0230609
9.08	0.0061665
9.09	-0.013415
9.1	-0.00228441
9.11	0.0172419
9.12	-0.0187995
9.13	-0.0125308
9.14	-0.036053
9.15	-0.0345269
9.16	-0.0181075
9.17	-0.0216944
9.18	0.0131713
9.19	-0.00455484
9.2	0.0143324
9.21	0.0562699
9.22	0.0714207
9.23	0.122847
9.24	0.107009
9.25	0.0806411
9.26	0.0511128
9.27	0.0119196
9.28	0.0196794
9.29	-0.0221687
9.3	-0.0370046
9.31	-0.0388928
9.32	-0.0772947
9.33	-0.0576707
9.34	-0.0564536
9.35	-0.0379942
9.36	-0.0223197
9.37	0.0509706
9.38	0.280894
9.39	0.246903
9.4	-0.0256138
9.41	-0.292797
9.42	-0.412433
9.43	-0.313279
9.44	-0.186545
9.45	-0.0847073
9.46	-0.0394265
9.47	-0.0441572
9.48	-0.0201243
9.49	-0.0483815
9.5	-0.0594247
9.51	-0.0517527
9.52	-0.0589772
9.53	-0.0165173
9.54	-0.0121293
9.55	0.0238415
9.56	0.0747224
9.57	0.097794
9.58	0.164648
9.59	0.188018
9.6	0.229349
9.61	0.2476
9.62	0.221158
9.63	0.2373
9.64	0.193971
9.65	0.142925
9.66	0.083087
9.67	-0.000201461
9.68	-0.052842
9.69	-0.128438
9.7	-0.158915
9.71	-0.178362
9.72	-0.203528
9.73	-0.159378
9.74	-0.153024
9.75	-0.132001
9.76	-0.105314
9.77	-0.105563
9.78	-0.0615892
9.79	-0.0634476
9.8	-0.0529692
9.81	-0.0386901
9.82	-0.0552775
9.83	-0.0225575
9.84	-0.042568
9.85	-0.0469901
9.86	-0.0441676
9.87	-0.0812283
9.88	-0.0712974
9.89	-0.0926718
9.9	-0.0888419
9.91	-0.0709223
9.92	-0.0979243
9.93	-0.0752577
9.94	-0.0834593
9.95	-0.0788261
9.96	-0.0676835
9.97	-0.076818
9.98	-0.0232624
9.99	0.00701405
10	0.0508457
10.01	0.0625263
10.02	0.024096
10.03	0.0267372
10.04	-0.0219783
10.05	-0.034904
10.06	-0.0347828
10.07	-0.0717123
10.08	-0.0559353
10.09	-0.0741978
10.1	-0.0646933
10.11	-0.0440648
10.12	-0.0608543
10.13	-0.0252501
10.14	0.0843533
10.15	0.283456
10.16	0.219305
10.17	-0.0927686
10.18	-0.321645
10.19	-0.395299
10.2	-0.27356
10.21	-0.105852
10.22	-0.0308826
10.23	0.029806
10.24	0.0243838
10.25	0.0526468
10.26	0.0956907
10.27	0.0674934
10.28	0.0847503
10.29	0.0857338
10.3	0.0950206
10.31	0.116509
10.32	0.100478
10.33	0.141747
10.34	0.157512
10.35	0.181834
10.36	0.22486
10.37	0.212532
10.38	0.239581
10.39	0.227406
10.4	0.204121
10.41	0.19908
10.42	0.144882
10.43	0.126323
10.44	0.0801745
10.45	0.0458586
10.46	0.0430225
10.47	0.00762436
10.48	0.0253698
10.49	0.00856779
10.5	0.000793482
10.51	0.0214909
10.52	-0.000119316
10.53	0.0201397
10.54	0.0106229
10.55	0.0052708
10.56	0.0221576
10.57	-0.00327226
10.58	0.0171431
10.59	-0.00121671
10.6	-0.0177039
10.61	-0.00270792
10.62	-0.0240093
10.63	-0.00390428
10.64	-0.0108234
10.65	-0.0179884
10.66	-0.00320802
10.67	-0.0331009
10.68	-0.0285613
10.69	-0.0438432
10.7	-0.0412592
10.71	-0.0223481
10.72	-0.0449682
10.73	-0.0170547
10.74	-0.0107187
10.75	0.0104129
10.76	0.0633301
10.77	0.0614458
10.78	0.0785641
10.79	0.0490485
10.8	0.0121139
10.81	0.0018944
10.82	-0.0435084
10.83	-0.0457223
10.84	-0.0664292
10.85	-0.0741671
10.86	-0.0557594
10.87	-0.0777823
10.88	-0.0569628
10.89	-0.0661552
10.9	-0.0356253
10.91	0.149887
10.92	0.257575
10.93	0.115267
10.94	-0.184873
10.95	-0.384276
10.96	-0.363586
10.97	-0.25444
10.98	-0.102317
10.99	-0.0356914
11	-0.0190767
11.01	0.00605277
11.02	-0.00762881
11.03	0.0200082
11.04	0.0212016
11.05	0.0366031
11.06	0.0665511
11.07	0.0467667
11.08	0.0733448
11.09	0.0765241
11.1	0.0847629
11.11	0.128952
11.12	0.131465
11.13	0.173245
11.14	0.176166
11.15	0.174752
11.16	0.188853
11.17	0.142638
11.18	0.138313
11.19	0.0928254
11.2	0.043023
11.21	0.0373138
11.22	-0.00631791
11.23	-0.00943451
11.24	-0.0323093
11.25	-0.0427006
11.26	-0.016194
11.27	-0.0402993
11.28	-0.0244008
11.29	-0.0344903
11.3	-0.0296236
11.31	-0.000795878
11.32	-0.0207823
11.33	-0.00536372
11.34	-0.0245703
11.35	-0.029082
11.36	-0.00186273
11.37	-0.0279337
11.38	-0.0180338
11.39	-0.0306244
11.4	-0.0277429
11.41	0.00226216
11.42	-0.0243973
11.43	-0.022645
11.44	-0.0342418
11.45	-0.0411113
11.46	-0.0299286
11.47	-0.0582586
11.48	-0.0427816
11.49	-0.0478406
11.5	-0.0437396
11.51	-0.0203482
11.52	-0.0289395
11.53	0.0165257
11.54	0.0379348
11.55	0.0508833
11.56	0.0694002
11.57	0.020117
11.58	0.00305741
11.59	-0.0376747
11.6	-0.0573876
11.61	-0.0473578
11.62	-0.0774086
11.63	-0.0592721
11.64	-0.0766422
11.65	-0.0851414
11.66	-0.0603283
11.67	-0.0810374
11.68	-0.0256021
11.69	0.136612
11.7	0.260282
11.71	0.109911
11.72	-0.210168
11.73	-0.383452
11.74	-0.379098
11.75	-0.250692
11.76	-0.104559
11.77	-0.0566106
11.78	-0.00992151
11.79	-0.00728064
11.8	-0.00683691
11.81	0.0216507
11.82	0.0122651
11.83	0.039575
11.84	0.0358542
11.85	0.0415234
11.86	0.0780988
11.87	0.0741921
11.88	0.115186
